ThreatScore,AttackType,Timestamp,SourceIP
0.7294,0,1749466928,36.75.3.45
0.7366,0,1748974679,19.10.125.9
0.4718,2,1747300534,17.92.69.191
0.9916,2,1749388913,33.162.18.219
0.4489,2,1747804146,152.48.116.65
0.3444,1,1747220299,79.173.22.202
0.4221,1,1749551118,236.114.234.124
0.5119,0,1747403211,34.223.137.130
0.8392,1,1748077993,222.154.167.148
0.4123,1,1749380128,221.132.5.184
0.0417,1,1749183599,98.22.25.46
0.7869,1,1748003054,239.17.116.247
0.9896,0,1748317355,181.72.157.195
0.7203,1,1748588403,9.233.89.29
0.2329,0,1748604552,100.222.49.219
0.4413,2,1748171222,111.169.254.222
0.4893,2,1748715076,65.173.139.115
0.9207,2,1747164254,202.165.73.128
0.8881,0,1749647063,230.212.194.135
0.9789,0,1747273836,159.109.167.114
0.0025,1,1748856888,146.184.211.67
0.8621,0,1748657886,248.229.113.92
0.8267,1,1747906135,226.38.113.14
0.3289,1,1748178220,170.234.165.4
0.0656,1,1748931165,200.69.176.205
0.4812,0,1748843231,253.87.78.240
0.8656,1,1749502867,90.71.31.175
0.5253,1,1748879256,118.210.30.13
0.8117,1,1749225386,77.12.232.251
0.2466,2,1748502309,144.24.149.140
0.6637,1,1747251089,23.196.135.252
0.4,1,1749137109,24.174.131.67
0.1337,2,1748746158,201.168.59.170
0.6944,1,1748690925,81.237.227.52
0.567,0,1748081220,163.244.103.20
0.11,2,1747894442,29.178.33.66
0.4764,1,1749157865,110.17.140.232
0.8188,2,1747237320,161.170.136.198
0.5005,1,1748047271,10.163.50.168
0.3595,0,1748267326,158.3.236.210
0.8219,1,1748225267,188.214.128.119
0.519,2,1749584122,237.8.60.112
0.6304,0,1748676850,3.21.242.161
0.2608,2,1747701202,7.72.252.141
0.6854,0,1747396101,178.134.253.148
0.4102,1,1748020519,91.113.171.163
0.8865,1,1747577006,162.20.222.141
0.9306,0,1748177234,4.19.20.40
0.6335,0,1749178549,95.180.225.18
0.5929,0,1748266783,141.100.240.88
0.5182,0,1749305286,28.208.81.124
0.4645,2,1749335278,175.128.58.198
0.3224,1,1748277218,145.227.210.116
0.7297,2,1747851737,29.208.199.211
0.665,1,1747511009,17.30.9.175
0.4687,1,1747411941,90.229.133.107
0.2489,1,1749623862,175.241.22.233
0.1944,0,1748924190,95.41.93.217
0.821,1,1748058669,228.156.106.203
0.3587,0,1749100125,148.94.196.250
0.1136,2,1747236155,206.186.12.142
0.5282,1,1747670212,45.147.180.143
0.194,0,1747171786,212.13.243.233
0.8149,2,1747421923,204.111.62.80
0.181,1,1747450925,81.44.132.254
0.6694,2,1749380911,133.194.96.141
0.6524,0,1749630058,190.239.66.158
0.303,2,1747484220,107.71.139.58
0.82,0,1749571716,144.175.183.117
0.0572,1,1749027312,57.145.47.43
0.0092,1,1747089153,133.138.135.101
0.5735,1,1748771615,227.248.213.105
0.7605,1,1747370412,102.206.109.215
0.0749,2,1747212062,99.60.103.239
0.1146,2,1748994276,60.24.98.20
0.6283,1,1749586712,223.46.180.228
0.5832,2,1747768498,174.131.142.89
0.3046,2,1749115192,138.134.111.120
0.0378,0,1747530994,253.152.149.34
0.5575,2,1747213356,244.110.5.67
0.4843,1,1748047598,77.154.88.79
0.1996,2,1748819631,40.215.124.152
0.2921,1,1749634030,106.1.193.90
0.842,0,1747659085,204.224.38.193
0.2063,0,1749299580,105.175.142.8
0.8584,2,1747974730,102.3.112.109
0.8564,0,1749101261,194.78.121.153
0.2072,0,1747895829,143.234.185.135
0.373,0,1748912529,235.41.169.25
0.8976,1,1748543392,177.128.75.165
0.823,2,1748366630,147.63.249.117
0.7211,1,1748188348,47.196.102.5
0.0894,0,1749112807,254.205.60.48
0.0566,1,1747433180,205.235.64.37
0.2026,0,1748121092,134.252.160.63
0.9241,2,1749101601,76.39.161.96
0.3392,2,1747528918,174.28.14.191
0.2884,2,1748898814,131.13.216.38
0.8549,2,1749141039,64.224.192.97
0.2472,1,1747810224,226.168.190.172
0.4809,1,1748583004,223.5.198.147
0.8861,0,1749054597,79.132.31.36
0.2635,2,1748307521,127.56.193.135
0.239,1,1749583397,249.216.243.168
0.005,1,1749231608,31.207.123.215
0.4601,2,1749023660,159.168.119.37
0.9447,2,1748462568,92.53.183.210
0.0762,2,1749188316,70.104.218.251
0.1762,2,1748114014,70.240.210.23
0.3499,0,1749366750,63.59.87.97
0.801,1,1747348650,104.208.122.128
0.5717,2,1747954709,177.241.136.238
0.0818,2,1749227131,144.25.26.177
0.803,1,1748469303,183.254.113.107
0.2957,2,1748076253,189.20.143.222
0.6673,2,1748076988,190.166.112.217
0.4785,1,1749394640,241.208.241.116
0.2412,0,1748212841,25.254.62.37
0.1571,0,1747599434,94.26.126.119
0.2298,2,1747874149,31.16.32.226
0.4874,1,1749563657,172.143.100.191
0.9344,0,1747489251,126.230.39.164
0.337,1,1749619376,92.109.189.14
0.2472,1,1749165753,50.75.147.213
0.1611,1,1748383372,62.222.101.32
0.7874,0,1747471610,218.51.34.194
0.7169,1,1747085014,138.177.97.202
0.4049,2,1747854145,184.46.32.120
0.3174,2,1748169950,22.128.178.186
0.6166,0,1747174617,253.205.137.27
0.9609,1,1747601109,161.246.227.70
0.2205,1,1748394763,245.251.25.242
0.1346,1,1748880809,229.212.167.21
0.9659,0,1749514734,74.32.59.21
0.8654,0,1748985314,35.45.7.199
0.1146,2,1747074977,236.131.232.38
0.6692,0,1749270639,85.104.54.53
0.7408,2,1748013483,21.168.208.97
0.2793,1,1748550970,36.171.237.210
0.2875,0,1748268694,227.124.148.213
0.598,1,1749478136,171.44.58.14
0.6601,2,1748597167,253.108.154.173
0.5516,0,1748253848,142.7.221.94
0.7072,0,1749183843,111.117.79.97
0.9812,2,1748758185,223.183.160.78
0.1901,1,1748179928,33.133.23.147
0.7672,2,1748572642,40.158.99.229
0.7481,2,1747717408,143.180.208.188
0.3225,0,1747170846,161.36.38.214
0.4319,2,1747883836,125.178.96.160
0.2045,2,1747296749,79.18.188.246
0.0125,2,1747122488,209.233.238.111
0.4628,2,1748322471,71.23.103.76
0.8722,1,1748672434,228.79.112.238
0.4007,0,1749015320,107.78.115.14
0.7965,1,1748688450,148.190.17.99
0.3441,0,1748909481,216.112.168.8
0.6812,1,1748167672,236.161.57.13
0.0125,1,1747503769,52.8.210.121
0.9631,0,1749166637,60.56.205.114
0.9879,1,1748211978,101.167.108.205
0.3474,1,1749068715,130.183.124.57
0.7488,2,1747291525,228.39.176.193
0.8768,2,1748411539,85.108.87.194
0.6295,2,1748015874,215.39.84.157
0.6709,2,1748929326,242.183.168.157
0.385,0,1748054803,233.18.120.240
0.0155,0,1747624611,152.212.139.204
0.3986,0,1747524183,125.80.39.112
0.1306,0,1748265108,244.230.189.130
0.0605,0,1747284239,241.102.17.181
0.5194,0,1747565756,7.11.70.4
0.9817,0,1747787086,235.40.135.176
0.6525,1,1748007597,217.24.132.131
0.287,0,1748607652,158.29.182.212
0.9566,1,1749540665,68.247.232.8
0.4522,2,1748336597,133.196.45.24
0.5932,0,1748855064,39.27.88.228
0.8255,1,1747572201,89.4.221.213
0.8022,1,1747311297,61.150.48.2
0.7141,1,1748218217,250.152.125.47
0.1484,0,1748536902,212.155.221.234
0.4933,0,1747754295,150.235.197.128
0.7946,2,1747654866,1.12.95.133
0.4238,1,1748410267,50.219.40.3
0.0417,1,1749430082,96.192.153.208
0.3105,0,1747985270,170.133.96.87
0.0419,1,1748996690,100.160.202.247
0.6608,2,1748269426,79.138.224.248
0.9719,0,1749420549,117.65.142.25
0.3934,0,1747960413,13.75.155.233
0.2668,1,1749169028,30.91.22.64
0.9829,0,1749127430,203.124.166.171
0.3112,0,1748877562,97.29.202.150
0.6867,0,1749463302,27.53.17.87
0.9887,0,1748967655,212.92.202.69
0.9446,0,1747988808,128.227.35.124
0.7207,2,1749039184,185.63.19.164
0.5013,1,1748260069,240.74.6.176
0.3939,2,1748320464,224.138.27.127
0.4848,2,1747314625,232.116.14.70
0.5114,2,1748466804,6.43.176.203
0.0993,0,1749600720,143.38.172.70
0.4659,1,1748513260,91.49.219.110
0.6249,0,1747488707,136.183.31.105
0.7778,1,1747253337,64.146.192.177
0.2849,2,1748654851,113.119.211.225
0.2469,0,1747857935,39.120.173.144
0.6828,0,1747465558,181.141.33.102
0.9195,0,1747417448,57.75.100.166
0.3111,2,1747449748,207.161.55.190
0.4355,1,1747316287,52.251.201.153
0.2744,2,1749528153,214.240.75.86
0.3742,2,1748179906,172.151.29.49
0.0037,2,1749544717,3.182.129.145
0.2191,0,1749242731,52.186.80.203
0.9949,0,1748847833,84.19.64.249
0.4081,2,1749211382,117.145.8.200
0.7434,2,1747277732,132.139.250.223
0.6449,1,1747872821,127.121.179.253
0.8254,1,1748784518,173.38.63.245
0.1919,0,1748687157,167.155.36.33
0.6987,0,1749382422,121.68.27.235
0.0954,0,1749550536,96.126.251.197
0.715,0,1748341279,183.63.230.86
0.5122,2,1748551132,247.64.61.48
0.8529,2,1747610982,237.110.207.90
0.3707,1,1749245880,37.201.199.34
0.6981,0,1748757339,178.106.213.34
0.1874,0,1747737878,189.9.59.159
0.2658,0,1749139120,91.159.210.27
0.0956,0,1747783483,34.230.142.143
0.0161,2,1747528203,198.16.254.23
0.0065,0,1748589057,15.157.75.216
0.7317,0,1748625656,197.5.212.199
0.5202,2,1748353684,230.165.227.82
0.8474,0,1749028759,8.29.20.235
0.7382,1,1747444959,74.148.238.236
0.9635,0,1747694054,113.52.62.131
0.1562,1,1748598708,201.149.237.110
0.67,0,1747828382,90.187.144.248
0.3216,2,1747716618,215.157.81.98
0.9728,0,1748640954,204.218.232.241
0.3023,2,1747829823,239.145.3.169
0.6035,0,1748934929,24.178.158.254
0.7579,1,1747918128,126.154.91.139
0.86,1,1748947871,21.26.105.130
0.956,1,1749288213,17.89.207.121
0.9453,1,1748779155,71.117.6.185
0.5587,1,1748331336,226.46.83.248
0.1931,0,1747218108,95.84.179.161
0.4688,0,1747579576,61.71.16.45
0.2126,0,1748031529,27.160.241.150
0.3545,1,1749628125,239.104.183.99
0.6834,0,1748805345,178.211.189.66
0.7237,1,1748769784,161.15.248.63
0.5376,1,1748157898,198.79.236.68
0.4666,0,1747087182,67.72.73.43
0.6101,0,1747883176,99.130.119.87
0.8753,2,1748009373,28.219.245.150
0.6574,2,1749036350,117.238.252.232
0.9007,1,1747358748,31.168.128.244
0.7965,2,1748274248,6.37.220.128
0.2426,2,1747130315,12.152.96.149
0.819,1,1749575177,166.111.73.178
0.6367,2,1749383814,121.85.217.23
0.6394,0,1749303198,178.64.51.160
0.6192,1,1747370466,44.185.213.38
0.7306,0,1747789314,113.27.178.22
0.2139,1,1747228079,1.189.115.183
0.958,1,1747409245,231.247.51.3
0.0806,0,1748511772,32.45.153.147
0.294,0,1747679114,86.57.239.1
0.3851,0,1748444000,16.180.44.154
0.2156,1,1747249081,108.125.244.205
0.1241,0,1748758756,148.249.145.39
0.9618,2,1748276107,173.26.74.56
0.4844,1,1747861606,153.28.119.218
0.8962,0,1749577106,203.83.81.248
0.0839,0,1749281339,195.208.240.198
0.4676,1,1748882846,122.52.49.219
0.4812,0,1748531505,233.135.246.232
0.9743,2,1749421931,99.252.25.55
0.2355,0,1747333881,27.74.34.56
0.7506,2,1748497835,151.213.246.180
0.142,1,1748549738,133.116.190.163
0.7791,1,1748904752,112.45.119.105
0.1532,2,1748331586,41.129.197.14
0.965,0,1747680884,46.151.147.89
0.6149,1,1747261320,206.114.85.239
0.8353,1,1749166034,207.120.116.42
0.2293,2,1747136088,81.123.62.79
0.2939,0,1749384426,152.217.151.156
0.2472,2,1749589089,123.17.203.28
0.7262,1,1747761307,105.194.122.95
0.9697,2,1749274524,29.26.200.224
0.881,0,1747521880,245.226.231.165
0.7208,1,1748874911,13.194.84.90
0.697,2,1748421193,67.177.197.81
0.1714,1,1747184531,214.205.215.131
0.2212,1,1748772808,65.74.47.102
0.6422,1,1747466561,77.87.165.133
0.2388,1,1749348318,39.57.211.107
0.5402,0,1747682977,56.217.145.197
0.8463,0,1748866374,127.6.136.46
0.667,2,1748179831,213.203.125.109
0.771,1,1748257793,214.254.92.214
0.1924,1,1747201098,203.1.129.123
0.3513,1,1748880589,15.184.45.35
0.1325,0,1747958277,83.239.61.238
0.7588,0,1747829837,116.26.198.15
0.4177,0,1748380849,84.139.153.16
0.7079,0,1747236102,147.98.174.84
0.356,0,1747779715,225.202.199.66
0.4686,0,1749519385,153.206.235.92
0.8747,0,1747336618,98.180.229.165
0.2515,2,1749054513,217.190.204.119
0.4048,1,1748364215,29.129.249.201
0.8307,2,1748215200,90.152.13.252
0.6256,2,1747763671,139.55.90.75
0.0312,2,1747972984,79.191.185.197
0.4499,1,1747530525,119.124.59.141
0.2388,1,1747766256,99.67.6.241
0.1299,0,1747793070,141.67.222.167
0.0737,0,1748536007,110.113.211.28
0.6206,0,1749489076,146.250.183.98
0.9287,2,1749625718,231.178.215.166
0.0363,0,1748617085,89.221.235.174
0.7563,1,1747579593,66.71.9.251
0.3873,1,1748842624,170.216.224.11
0.177,1,1749286834,131.243.43.13
0.4938,0,1748954286,100.127.133.107
0.8914,2,1747212429,207.66.22.20
0.978,1,1747710168,43.42.190.98
0.7517,1,1749378707,187.9.171.163
0.7485,2,1749546334,63.168.48.32
0.79,2,1748704081,92.39.250.119
0.6522,1,1748863396,90.51.35.169
0.602,2,1748486183,85.222.85.6
0.6338,2,1748128153,170.31.211.123
0.8157,1,1747414040,200.216.2.59
0.3682,1,1747665589,212.54.33.209
0.476,0,1749061494,197.85.196.107
0.8442,2,1748459957,56.3.67.216
0.1188,1,1749617092,27.153.228.160
0.349,2,1749051402,19.179.45.178
0.6339,2,1747412088,194.151.186.56
0.6137,0,1749462277,152.2.245.110
0.7861,0,1747401287,8.83.47.112
0.2575,0,1749361154,110.184.10.247
0.0344,2,1749227783,85.86.92.174
0.3607,0,1747984483,131.119.202.47
0.2594,0,1749342398,98.240.203.161
0.2271,0,1748147826,6.214.219.2
0.6478,2,1748564806,47.33.99.254
0.0415,0,1749133801,105.76.81.244
0.7696,1,1748424403,172.34.105.98
0.6989,1,1747470020,125.39.223.133
0.2893,1,1747633772,244.169.121.129
0.1319,0,1749354931,218.51.194.173
0.0519,0,1748476517,199.108.17.94
0.1762,2,1749556894,117.28.192.247
0.0802,0,1749313789,194.6.19.162
0.0303,1,1749478169,250.69.104.88
0.0009,2,1747614563,96.176.57.235
0.0512,2,1747442902,184.51.59.214
0.6265,2,1747430730,245.188.211.126
0.3523,2,1748438457,226.34.222.144
0.9459,2,1747863204,165.48.220.17
0.4368,2,1747483446,165.59.187.8
0.5041,0,1749004521,65.49.228.158
0.5223,2,1748388896,36.36.5.43
0.7259,1,1748853435,45.102.149.67
0.5106,2,1749160109,17.184.17.35
0.4786,0,1749458477,46.130.206.147
0.8915,2,1747297749,179.50.10.19
0.9619,2,1748766873,84.102.72.134
0.0411,2,1748898850,56.109.121.243
0.7606,2,1747310055,188.232.189.69
0.655,0,1747560522,180.187.192.75
0.3786,0,1748885041,52.238.159.46
0.5635,1,1749143077,190.43.191.41
0.7599,2,1749186940,42.24.42.40
0.5163,1,1748960173,145.201.224.192
0.3361,2,1749345598,206.148.165.28
0.2915,1,1747747894,181.244.183.222
0.588,1,1749082667,196.148.16.14
0.7595,1,1747511265,159.186.32.23
0.1003,0,1748107540,185.213.139.7
0.8301,0,1748127175,134.215.195.61
0.1967,2,1748004620,124.63.195.110
0.4947,1,1748743915,247.225.206.87
0.1272,1,1749355687,189.97.12.231
0.9008,0,1747996202,96.169.194.141
0.7981,0,1749586859,234.126.23.21
0.0605,1,1748522424,183.19.246.165
0.3714,1,1749325486,241.189.5.34
0.1481,0,1748385951,2.85.76.46
0.9822,2,1748575817,155.105.195.92
0.3849,1,1748052741,23.195.40.187
0.5023,1,1749603759,157.54.105.215
0.4736,0,1749176119,233.49.225.81
0.8697,2,1747115674,98.31.122.10
0.9319,1,1748622290,29.156.215.18
0.9527,2,1747194886,79.8.196.151
0.2141,2,1747081256,217.214.124.134
0.8465,2,1748349159,209.204.150.77
0.5829,1,1747700190,159.2.237.203
0.5371,1,1748106910,170.80.176.237
0.3885,1,1748379513,63.153.72.143
0.8353,1,1747183531,41.72.31.27
0.5178,0,1749444184,66.5.60.114
0.8556,1,1748126357,244.206.226.197
0.691,0,1749044962,202.144.148.236
0.4625,2,1748193181,158.140.63.156
0.0963,0,1747241516,5.206.243.62
0.0327,2,1748006149,236.67.56.229
0.917,0,1747540983,136.181.69.233
0.8877,2,1749646983,6.179.206.229
0.6215,0,1747610994,50.236.145.13
0.9806,2,1747207658,150.70.8.192
0.9957,0,1749139713,173.82.23.243
0.349,0,1748170678,173.140.182.180
0.6923,2,1748910579,235.150.215.214
0.6013,0,1747148050,225.203.26.81
0.5167,0,1749354205,53.206.59.244
0.2911,0,1749136892,111.186.28.247
0.5289,2,1749111766,164.203.190.41
0.8491,2,1747917637,211.225.159.196
0.9529,1,1747755800,91.136.248.173
0.7301,2,1749396631,150.215.137.51
0.0621,1,1748277441,227.172.76.199
0.4224,1,1749554431,147.102.170.131
0.5499,2,1747064247,223.254.120.16
0.093,0,1748830607,26.104.75.165
0.6947,1,1747225258,215.179.145.27
0.1486,0,1747599249,181.241.169.244
0.5173,2,1748036955,90.230.200.207
0.0894,0,1748525156,143.73.252.190
0.3765,1,1748989458,224.5.122.197
0.8976,0,1747525702,139.86.121.220
0.5186,0,1748604229,190.246.169.248
0.2278,1,1747130059,229.176.235.205
0.9357,1,1748233019,222.117.5.211
0.7659,1,1749311761,67.247.9.179
0.7156,2,1747954295,235.169.76.10
0.7251,2,1747539761,224.102.189.154
0.0161,2,1747625808,93.124.204.251
0.8902,2,1747718386,227.180.49.198
0.4625,2,1748288696,164.44.111.250
0.5861,0,1749017273,191.163.133.86
0.3872,2,1747073203,4.144.254.165
0.1357,0,1748647097,239.227.93.129
0.2713,0,1748091085,128.8.115.103
0.2933,1,1747551090,203.156.119.93
0.7617,2,1749179584,51.19.162.243
0.3754,1,1749194218,125.139.42.250
0.3283,0,1747864376,60.217.150.232
0.1054,2,1748442682,21.35.25.140
0.7662,0,1748262179,175.230.48.83
0.0202,1,1747288360,16.122.37.111
0.8732,0,1748837479,28.104.101.181
0.8914,1,1748656941,100.9.163.84
0.3364,0,1749470053,245.176.27.196
0.8015,2,1747663581,116.176.216.122
0.1503,0,1747999562,179.142.34.103
0.9376,0,1747397892,53.173.108.179
0.3261,2,1748423306,156.88.64.178
0.0151,2,1747164991,241.49.198.143
0.335,1,1748217789,147.19.31.213
0.003,2,1749390861,220.86.6.55
0.9929,2,1749326570,107.227.58.94
0.8249,1,1748591917,114.115.62.157
0.9992,1,1748710866,173.163.205.10
0.6071,0,1748748629,169.49.215.152
0.2384,2,1748847585,38.253.195.132
0.5867,2,1748863873,154.50.143.239
0.0299,1,1749608039,134.55.33.127
0.9702,0,1748683015,56.4.153.112
0.4562,2,1748720500,254.162.95.231
0.5022,0,1747277417,237.204.146.17
0.2916,0,1748871266,126.116.42.139
0.0509,1,1747129746,16.225.176.52
0.344,2,1747438335,252.32.186.203
0.9784,2,1748084634,59.250.117.47
0.8577,2,1748466811,6.91.205.111
0.2825,1,1747987776,94.82.72.83
0.6651,1,1747790584,238.49.118.105
0.3544,2,1748271499,220.207.68.210
0.8621,2,1747192573,223.29.96.182
0.3704,0,1748515268,66.219.20.149
0.4777,0,1747910641,6.244.206.141
0.1009,0,1748469310,244.35.150.127
0.6719,2,1748347763,237.155.18.153
0.2383,0,1747207000,197.97.80.20
0.7725,2,1748973563,64.191.195.95
0.9461,0,1748352596,170.154.57.77
0.6566,1,1749243217,207.73.249.15
0.1673,2,1747622289,202.13.244.125
0.7963,0,1747272240,84.211.195.10
0.3806,2,1748792736,224.237.8.53
0.0058,2,1747865507,141.76.151.113
0.6143,0,1747582914,240.236.247.97
0.6692,1,1748137251,193.7.188.245
0.1611,2,1749268892,171.190.68.25
0.4052,1,1747859998,19.238.253.45
0.9988,1,1748342972,249.146.249.11
0.9408,2,1749109324,32.167.49.133
0.5145,2,1748698387,165.98.127.163
0.5113,0,1747283905,236.95.202.224
0.2482,0,1748294253,127.184.53.64
0.8966,1,1748322537,114.245.49.183
0.0607,1,1747893745,30.188.73.158
0.8672,1,1749521928,253.183.165.99
0.6147,0,1747555360,160.112.214.71
0.2124,0,1749426292,214.154.102.176
0.1816,1,1749089177,240.86.153.188
0.4171,0,1747198485,164.155.119.54
0.7805,1,1747835760,235.138.80.226
0.7026,0,1747474155,147.90.67.189
0.8601,0,1747681448,110.26.250.151
0.8432,2,1748191852,80.222.92.169
0.8177,2,1748707134,98.27.204.72
0.9995,0,1747246884,67.34.95.171
0.8166,1,1749265908,161.61.31.184
0.6073,0,1748034813,63.12.72.246
0.33,2,1748977426,233.199.190.3
0.1905,1,1749145397,44.130.243.130
0.3469,2,1747125079,140.133.168.189
0.7189,1,1748243796,199.198.15.222
0.4879,0,1747432045,181.159.18.10
0.122,0,1748804757,224.72.209.173
0.4029,1,1748507684,127.124.109.103
0.0367,2,1749244145,249.193.168.10
0.1509,1,1748386916,63.141.147.163
0.9802,0,1748041333,185.101.66.209
0.3915,1,1747208843,250.159.227.30
0.3449,2,1749147130,12.226.108.167
0.008,1,1749168874,204.240.14.130
